Fecha;Th;Ph;Hh;Direccion_viento;Velocidad_viento
1/01/2021 00:00;10.7;0;85;29;0
1/01/2021 01:00;10;0;86;68;0
1/01/2021 02:00;9.1;0;88;15;0
1/01/2021 03:00;8.8;0;90;38;0
1/01/2021 04:00;8.9;0;90;63;0
1/01/2021 05:00;9.6;0;90;33;0
1/01/2021 06:00;9.5;0;89;26;0
1/01/2021 07:00;9;0;89;17;0
1/01/2021 08:00;10.9;0;81;220;0
1/01/2021 09:00;13.7;0;69;139;0.9
1/01/2021 10:00;14.6;0;68;177;1.1
1/01/2021 11:00;14.6;0;69;190;0.7
1/01/2021 12:00;14.8;0;66;186;1.1
1/01/2021 13:00;16.2;0;61;167;1.9
1/01/2021 14:00;14.6;0;63;214;0.9
1/01/2021 15:00;13;0;71;204;0.4
1/01/2021 16:00;11.8;0;78;239;0.1
1/01/2021 17:00;11;0;86;227;0.4
1/01/2021 18:00;10.6;0;92;118;0
1/01/2021 19:00;10.6;0;92;118;0
1/01/2021 20:00;10.2;0;95;106;0
1/01/2021 21:00;9.7;0;91;32;0.1
1/01/2021 22:00;9.4;0;88;42;0.2
1/01/2021 23:00;9.7;0;87;59;0
2/01/2021 00:00;9.8;0;88;41;0
2/01/2021 01:00;10;0;89;79;0
2/01/2021 02:00;9.4;0;89;30;0
2/01/2021 03:00;9.5;0;88;123;0
2/01/2021 04:00;9.7;0;89;14;0
2/01/2021 05:00;9.5;0;90;3;0
2/01/2021 06:00;9.1;0;90;74;0
2/01/2021 07:00;9.7;0;89;76;0
2/01/2021 08:00;11.5;0;83;122;0.4
2/01/2021 09:00;14;0;73;152;1.6
2/01/2021 10:00;15.3;0;71;150;1.4
2/01/2021 11:00;15.9;0;69;226;0.6
2/01/2021 12:00;15.9;0;69;226;0.6
2/01/2021 13:00;14.1;0;71;153;0.9
2/01/2021 14:00;14.1;0;72;227;1
2/01/2021 15:00;13.6;0;76;149;1.2
2/01/2021 16:00;13.1;0;79;202;0.2
2/01/2021 17:00;12.1;0;87;269;0
2/01/2021 18:00;11.6;0;91;128;0
2/01/2021 19:00;11.6;0;91;128;0
2/01/2021 20:00;11.1;0;94;122;0
2/01/2021 21:00;11.1;0;93;74;0
2/01/2021 22:00;11.3;0;90;100;0
2/01/2021 23:00;11.1;0;90;65;0
3/01/2021 00:00;10.8;0;91;102;0
3/01/2021 01:00;10.7;0;92;120;0
3/01/2021 02:00;10.5;0;96;99;0
3/01/2021 03:00;10.2;0;97;104;0
3/01/2021 04:00;10.4;0;95;135;0
3/01/2021 05:00;10.3;0;97;13;0
3/01/2021 06:00;10.3;0;97;222;0
3/01/2021 07:00;10.4;0;96;80;0
3/01/2021 08:00;11;0.4;91;336;0
3/01/2021 09:00;12.4;0;89;232;0
3/01/2021 10:00;13.4;0;83;153;0.8
3/01/2021 11:00;13.6;0;85;217;1
3/01/2021 12:00;12.5;0;91;271;0
3/01/2021 13:00;12.7;0;89;228;0.5
3/01/2021 14:00;12.8;0;86;140;0.5
3/01/2021 15:00;12.4;0;88;200;0.2
3/01/2021 16:00;11.6;0;93;165;0.4
3/01/2021 17:00;11.6;0;93;135;0.2
3/01/2021 18:00;11.1;0.8;96;160;0
3/01/2021 19:00;11.1;0.8;96;160;0
3/01/2021 20:00;10.7;0;99;203;0.1
3/01/2021 21:00;10.6;0;99;83;0
3/01/2021 22:00;10.6;0;99;83;0
3/01/2021 23:00;10.4;0;99;21;0
4/01/2021 00:00;10.1;0;94;47;0
4/01/2021 01:00;10.2;0;92;55;0
4/01/2021 02:00;10;0;88;63;0
4/01/2021 03:00;10;0;89;10;0
4/01/2021 04:00;10;0;85;58;0
4/01/2021 05:00;10;0;87;38;0
4/01/2021 06:00;10.1;0;86;78;0
4/01/2021 07:00;10.5;0;85;9;0
4/01/2021 08:00;12.1;0;73;142;0.1
4/01/2021 09:00;12.4;0;87;180;0
4/01/2021 10:00;11.7;0;91;212;0.2
4/01/2021 11:00;11.1;0;95;182;1
4/01/2021 12:00;10.8;0.2;97;159;0.1
4/01/2021 13:00;10.6;2.2;97;294;0.4
4/01/2021 14:00;10.2;0.2;98;204;0.2
4/01/2021 15:00;10.2;0.2;98;204;0.2
4/01/2021 16:00;10.1;0;99;144;0.5
4/01/2021 17:00;9.8;0.8;99;121;0
4/01/2021 18:00;9.8;2.8;99;239;0
4/01/2021 19:00;9.8;2.8;99;239;0
