,Fecha,Lluvia,Estacion
0,2021-01-01,no,Summer
1,2021-01-02,no,Summer
2,2021-01-03,si,Summer
3,2021-01-04,si,Summer
4,2021-01-05,si,Summer
5,2021-01-06,si,Summer
6,2021-01-07,si,Summer
7,2021-01-08,si,Summer
8,2021-01-09,si,Summer
9,2021-01-10,si,Summer
10,2021-01-11,si,Summer
11,2021-01-12,si,Summer
12,2021-01-13,si,Summer
13,2021-01-14,si,Summer
14,2021-01-15,si,Summer
15,2021-01-16,si,Summer
16,2021-01-17,si,Summer
17,2021-01-18,no,Summer
18,2021-01-19,si,Summer
19,2021-01-20,si,Summer
20,2021-01-21,si,Summer
21,2021-01-22,si,Summer
22,2021-01-23,si,Summer
23,2021-01-24,si,Summer
24,2021-01-25,si,Summer
25,2021-01-26,si,Summer
26,2021-01-27,no,Summer
27,2021-01-28,no,Summer
28,2021-01-29,no,Summer
29,2021-01-30,no,Summer
30,2021-01-31,si,Summer
31,2021-02-01,si,Summer
32,2021-02-02,no,Summer
33,2021-02-03,no,Summer
34,2021-02-04,si,Summer
35,2021-02-05,si,Summer
36,2021-02-06,si,Summer
37,2021-02-07,si,Summer
38,2021-02-08,no,Summer
39,2021-02-09,no,Summer
40,2021-02-10,si,Summer
41,2021-02-11,si,Summer
42,2021-02-12,si,Summer
43,2021-02-13,no,Summer
44,2021-02-14,no,Summer
45,2021-02-15,no,Summer
46,2021-02-16,no,Summer
47,2021-02-17,no,Summer
48,2021-02-18,no,Summer
49,2021-02-19,no,Summer
50,2021-02-20,no,Summer
51,2021-02-21,no,Summer
52,2021-02-22,no,Summer
53,2021-02-23,si,Summer
54,2021-02-24,no,Summer
55,2021-02-25,no,Summer
56,2021-02-26,no,Summer
57,2021-02-27,no,Summer
58,2021-02-28,si,Summer
59,2021-03-01,si,Summer
60,2021-03-02,si,Summer
61,2021-03-03,si,Summer
62,2021-03-04,si,Summer
63,2021-03-05,si,Summer
64,2021-03-06,si,Summer
65,2021-03-07,si,Summer
66,2021-03-08,si,Summer
67,2021-03-09,si,Summer
68,2021-03-10,si,Summer
69,2021-03-11,si,Summer
70,2021-03-12,si,Summer
71,2021-03-13,no,Summer
72,2021-03-14,si,Summer
73,2021-03-15,no,Summer
74,2021-03-16,si,Summer
75,2021-03-17,si,Summer
76,2021-03-18,no,Summer
77,2021-03-19,no,Summer
