;Estación:VILLAMARIADELTRIUNFO;;;;;
;Departamento:LIMA;Provincia:LIMA;Distrito:VILLA;MARIADELTRIUNFO;;
;Latitud:12Â°9'59'';Longitud:76Â°55'12'';Altitud:292;msnm.;;
;Tipo:EAA;#¿NOMBRE?;Código:112233;;;
AÑO / MES / DÍA;HORA;TEMPERATURA (°C);PRECIPITACIÓN (mm/hora);HUMEDAD (%);DIRECCION DEL VIENTO (°);VELOCIDAD DEL VIENTO (m/s)
1/01/2020;00:00;20.1;0;99.5;196.3;1.1
1/01/2020;01:00;19.9;0;99.5;192.6;1.3
1/01/2020;02:00;19.7;0;99.6;217;0.8
1/01/2020;03:00;19.6;0;99.5;223;1
1/01/2020;04:00;19.7;0.1;99.5;92.8;0.3
1/01/2020;05:00;19.9;0;99.5;139.4;0.2
1/01/2020;06:00;19.7;0;99.5;292.8;0.8
1/01/2020;07:00;19.4;0;99.6;274.3;0.7
1/01/2020;08:00;19.3;0;99.6;292.5;0.6
1/01/2020;09:00;19.4;0;99.6;225.8;0.6
1/01/2020;10:00;19.4;0;99.6;234.4;0.7
1/01/2020;11:00;20.1;0;99.5;258.8;0.8
1/01/2020;12:00;22.2;0;95.4;289.9;1.4
1/01/2020;13:00;22.6;0;92.7;252.4;1.3
1/01/2020;14:00;22.9;0;91;279.3;1.4
1/01/2020;15:00;24.7;0;82.1;261.3;1.4
1/01/2020;16:00;24.2;0;79.37;231.2;1.9
1/01/2020;17:00;25.2;0;74.57;232.1;1.6
1/01/2020;18:00;24.7;0;71.13;225.9;1.8
1/01/2020;19:00;24.1;0;74.85;219.8;1.6
1/01/2020;20:00;23.4;0;76.62;223.8;1.1
1/01/2020;21:00;22.1;0;91.8;223.1;0.9
1/01/2020;22:00;22.2;0;90.3;209.6;0.7
1/01/2020;23:00;21.9;0;92.6;188.3;1.6
2/01/2020;00:00;21.3;0;98.7;205.2;1.1
2/01/2020;01:00;20.4;0;99.5;189.6;1.2
2/01/2020;02:00;20;0;99.5;181.3;1.5
2/01/2020;03:00;19.7;0;99.5;187.3;1.2
2/01/2020;04:00;19.5;0;99.5;214.8;0.8
